iter	Passed	Remaining
402	15302	22669
403	15354	22652
404	15402	22628
405	15444	22596
406	15487	22565
407	15532	22537
408	15578	22510
409	15620	22478
410	15673	22461
411	15713	22426
412	15767	22410
413	15812	22381
414	15850	22344
415	15890	22307
416	15931	22273
417	15967	22232
418	16005	22194
419	16043	22154
420	16079	22114
421	16115	22072
422	16154	22035
423	16195	22001
424	16242	21975
425	16296	21957
426	16343	21931
427	16391	21906
428	16446	21890
429	16494	21864
430	16540	21836
431	16596	21821
432	16640	21789
433	16682	21755
434	16724	21722
435	16763	21684
436	16804	21650
437	16845	21615
438	16884	21576
439	16928	21545
440	16964	21503
441	17001	21463
442	17037	21421
443	17074	21381
444	17111	21341
445	17148	21301
446	17188	21264
447	17231	21231
448	17266	21189
449	17311	21158
450	17346	21115
451	17383	21075
452	17421	21036
453	17457	20995
454	17495	20956
455	17542	20928
456	17598	20909
457	17640	20875
458	17680	20839
459	17718	20799
460	17757	20761
461	17797	20725
462	17836	20687
463	17876	20650
464	17916	20613
465	17953	20572
466	17989	20531
467	18025	20490
468	18064	20452
469	18099	20409
470	18134	20368
471	18171	20327
472	18211	20290
473	18249	20251
474	18288	20213
475	18329	20177
476	18368	20140
477	18406	20100
478	18447	20064
479	18496	20037
480	18532	19996
481	18570	19957
482	18607	19917
483	18645	19878
484	18683	19839
485	18722	19800
486	18759	19760
487	18795	19719
488	18831	19678
489	18868	19639
490	18904	19597
491	18940	19556
492	18977	19516
493	19014	19476
494	19050	19435
495	19087	19395
496	19124	19355
497	19160	19314
498	19196	19273
499	19233	19233
500	19269	19192
501	19306	19152
502	19342	19111
503	19379	19071
504	19415	19030
505	19451	18990
506	19488	18950
507	19523	18908
508	19561	18869
509	19596	18828
510	19633	18787
511	19669	18747
512	19705	18707
513	19741	18666
514	19778	18626
515	19814	18585
516	19850	18545
517	19887	18505
518	19924	18465
519	19961	18425
520	19996	18384
521	20033	18344
522	20069	18304
523	20104	18262
524	20141	18223
525	20191	18195
526	20228	18155
527	20265	18116
528	20301	18075
529	20338	18035
530	20376	17997
531	20413	17958
532	20451	17918
533	20487	17878
534	20524	17838
535	20561	17799
536	20598	17759
537	20633	17718
538	20668	17677
539	20704	17637
540	20740	17596
541	20776	17556
542	20814	17517
543	20850	17477
544	20886	17437
545	20922	17397
546	20958	17356
547	20993	17315
548	21028	17275
549	21064	17234
550	21100	17194
551	21135	17153
552	21172	17113
553	21209	17074
554	21244	17034
555	21281	16994
556	21317	16954
557	21354	16915
558	21390	16875
559	21426	16835
560	21464	16796
561	21500	16756
562	21535	16716
563	21570	16675
564	21606	16635
565	21642	16595
566	21678	16555
567	21714	16515
568	21751	16476
569	21787	16436
570	21822	16395
571	21858	16355
572	21895	16316
573	21931	16276
574	21968	16237
575	22004	16197
576	22040	16157
577	22082	16122
578	22117	16082
579	22155	16043
580	22192	16004
581	22229	15965
582	22266	15926
583	22303	15887
584	22339	15847
585	22376	15808
586	22411	15768
587	22448	15729
588	22485	15689
589	22520	15649
590	22556	15610
591	22592	15570
592	22629	15531
593	22667	15493
594	22715	15462
595	22754	15424
596	22796	15388
597	22835	15350
598	22873	15312
599	22918	15278
600	22954	15239
601	22990	15200
602	23027	15160
603	23064	15121
604	23100	15082
605	23137	15043
606	23174	15004
607	23210	14964
608	23246	14924
609	23286	14887
610	23337	14857
611	23374	14819
612	23412	14780
613	23453	14744
614	23503	14713
615	23540	14674
616	23579	14636
617	23616	14598
618	23654	14559
619	23692	14521
620	23733	14484
621	23769	14444
