iter	Logloss
0	0.6822520823
1	0.6705543407
2	0.6615602797
3	0.651766238
4	0.6401184745
5	0.6315804081
6	0.6225501904
7	0.6130040487
8	0.6061476555
9	0.5994944918
10	0.5942833942
11	0.5862390822
12	0.5799224411
13	0.574058975
14	0.5690481214
15	0.5641422548
16	0.5598256761
17	0.5550262893
18	0.5515617149
19	0.5470174707
20	0.5429103685
21	0.537469781
22	0.5321357838
23	0.5275734611
24	0.5238387619
25	0.5202511774
26	0.515203006
27	0.5116458838
28	0.5081525609
29	0.5049419127
30	0.4996076943
31	0.4960494111
32	0.4942259858
33	0.4894678973
34	0.4872766025
35	0.483896449
36	0.4822063722
37	0.4794085959
38	0.4772960276
39	0.4744440715
40	0.4719935984
41	0.4691864235
42	0.4665009319
43	0.4644727292
44	0.4612112736
45	0.4580410944
46	0.4551656972
47	0.4530336684
48	0.4505198658
49	0.4479308197
50	0.4454820605
51	0.4421690789
52	0.440848392
53	0.4382096166
54	0.4357894953
55	0.4319739411
56	0.4290171361
57	0.4266354105
58	0.4233879421
59	0.4213432367
60	0.4193744383
61	0.417912967
62	0.4165187228
63	0.4140394736
64	0.4117819192
65	0.4099971937
66	0.4086768662
67	0.4069416765
68	0.4035821445
69	0.3979872552
70	0.3974677376
71	0.3966082697
72	0.3952353104
73	0.3943342126
74	0.3926947773
75	0.3901089931
76	0.3883412403
77	0.386261401
78	0.3847537386
79	0.3822061843
80	0.3794013866
81	0.3771135634
82	0.3748746126
83	0.3738155365
84	0.3722786005
85	0.3705245308
86	0.3694242394
87	0.3666824673
88	0.364012345
89	0.3624149267
90	0.3604296256
91	0.3586730404
92	0.3582272184
93	0.3564142974
94	0.3551041976
95	0.3532532955
96	0.3525098718
97	0.3520605115
98	0.3500628264
99	0.3483049697
100	0.3464693816
101	0.3448143558
102	0.3431236157
103	0.342151089
104	0.3412173174
105	0.3389353545
106	0.3374898054
107	0.3359300365
108	0.3343492314
109	0.333499632
110	0.3322952105
111	0.3308983402
112	0.3297101449
113	0.3275843081
114	0.3247427457
115	0.3236166913
116	0.3217107248
117	0.3208433234
118	0.319425113
119	0.3180480072
120	0.317136571
121	0.3164350814
122	0.3142003598
123	0.3128002277
124	0.3116931086
125	0.3110175478
126	0.310443657
127	0.3090913745
128	0.3080034671
129	0.30677425
130	0.3052678316
131	0.3033992933
132	0.3021109484
133	0.3005068129
134	0.2999387271
135	0.2978334842
136	0.2953513049
137	0.2941536834
138	0.2927536895
139	0.2917923858
140	0.2912541818
141	0.2907226397
142	0.2890588512
143	0.2875676362
144	0.2862532795
145	0.2852227031
146	0.2837416884
147	0.2833131431
