startTime,blockName,league,match_id,type,team_1_name,team_1_code,team_1_result,team_2_name,team_2_code,team_2_result,format,games
2024-02-24T08:30:00Z,Week 5,LCK,111561337007305645,normal,Gen.G,GEN,2,FearX,FOX,0,bestOf_3,"[['111561337007305646', [{'parameter': '117206275'}]], ['111561337007305647', [{'parameter': '117206275'}]], ['111561337007305648', []]]"
2024-02-25T06:00:00Z,Week 5,LCK,111561337007305537,normal,DRX,DRX,1,Dplus Kia,DK,2,bestOf_3,"[['111561337007305538', [{'parameter': '117318251'}]], ['111561337007305539', [{'parameter': '117318251'}]], ['111561337007305540', [{'parameter': '117318251'}]]]"
2024-02-26T10:30:00Z,Week 5,LCK,111561337007305617,normal,OKSavingsBank BRION,BRO,2,Kwangdong Freecs,KDF,1,bestOf_3,"[['111561337007305618', [{'parameter': '117415045'}]], ['111561337007305619', [{'parameter': '117415045'}]], ['111561337007305620', [{'parameter': '117415045'}]]]"
2024-02-28T08:00:00Z,Week 6,LCK,111561337007305641,normal,Kwangdong Freecs,KDF,0,Gen.G,GEN,2,bestOf_3,"[['111561337007305642', [{'parameter': '117577303'}]], ['111561337007305643', [{'parameter': '117577303'}]], ['111561337007305644', []]]"
2024-02-28T15:30:00Z,Week 6,LCK,111561337007371245,normal,T1,T1,2,FearX,FOX,0,bestOf_3,"[['111561337007371246', [{'parameter': '117595651'}]], ['111561337007371247', [{'parameter': '117619905'}]], ['111561337007371248', []]]"
2024-02-29T12:00:00Z,Week 6,LCK,111561337007305573,normal,Dplus Kia,DK,2,OKSavingsBank BRION,BRO,0,bestOf_3,"[['111561337007305574', [{'parameter': '117699843'}]], ['111561337007305575', [{'parameter': '117699843'}]], ['111561337007305576', []]]"
2024-02-29T14:30:00Z,Week 6,LCK,111561337007305565,normal,NongShim REDFORCE,NS,1,DRX,DRX,2,bestOf_3,"[['111561337007305566', [{'parameter': '117724375'}]], ['111561337007305567', [{'parameter': '117724375'}]], ['111561337007305568', [{'parameter': '117724375'}]]]"
2024-03-01T12:00:00Z,Week 6,LCK,111561337007305665,normal,Hanwha Life Esports,HLE,2,FearX,FOX,1,bestOf_3,"[['111561337007305666', [{'parameter': '117813267'}]], ['111561337007305667', [{'parameter': '117813267'}]], ['111561337007305668', [{'parameter': '117813267'}]]]"
2024-03-01T14:30:00Z,Week 6,LCK,111561337007305637,normal,Gen.G,GEN,2,kt Rolster,KT,0,bestOf_3,"[['111561337007305638', [{'parameter': '117827947'}]], ['111561337007305639', [{'parameter': '117827947'}]], ['111561337007305640', []]]"
2024-03-02T10:00:00Z,Week 6,LCK,111561337007305697,normal,Kwangdong Freecs,KDF,2,NongShim REDFORCE,NS,1,bestOf_3,"[['111561337007305698', [{'parameter': '117902599'}]], ['111561337007305699', [{'parameter': '117902599'}]], ['111561337007305700', [{'parameter': '117902599'}]]]"
2024-03-02T12:30:00Z,Week 6,LCK,111561337007305629,normal,T1,T1,2,OKSavingsBank BRION,BRO,0,bestOf_3,"[['111561337007305630', [{'parameter': '117917177'}]], ['111561337007305631', [{'parameter': '117917177'}]], ['111561337007305632', []]]"
2024-03-03T10:00:00Z,Week 6,LCK,111561337007305585,normal,kt Rolster,KT,1,Dplus Kia,DK,2,bestOf_3,"[['111561337007305586', [{'parameter': '118004639'}]], ['111561337007305587', [{'parameter': '118004639'}]], ['111561337007305588', [{'parameter': '118004639'}]]]"
2024-03-03T12:30:00Z,Week 6,LCK,111561337007305549,normal,DRX,DRX,0,Hanwha Life Esports,HLE,2,bestOf_3,"[['111561337007305550', [{'parameter': '118019139'}]], ['111561337007305551', [{'parameter': '118019139'}]], ['111561337007305552', []]]"
2024-03-06T08:00:00Z,Week 7,LCK,111561337007305541,normal,OKSavingsBank BRION,BRO,2,DRX,DRX,1,bestOf_3,"[['111561337007305542', [{'parameter': '118265677'}]], ['111561337007305543', [{'parameter': '118265677'}]], ['111561337007305544', [{'parameter': '118265677'}]]]"
2024-03-06T10:30:00Z,Week 7,LCK,111561337007305633,normal,Gen.G,GEN,2,Hanwha Life Esports,HLE,0,bestOf_3,"[['111561337007305634', [{'parameter': '118279307'}]], ['111561337007305635', [{'parameter': '118279307'}]], ['111561337007305636', []]]"
2024-03-07T08:00:00Z,Week 7,LCK,111561337007305701,normal,Kwangdong Freecs,KDF,0,T1,T1,2,bestOf_3,"[['111561337007371238', [{'parameter': '118354123'}]], ['111561337007371239', [{'parameter': '118354123'}]], ['111561337007371240', []]]"
2024-03-07T10:30:00Z,Week 7,LCK,111561337007305681,normal,FearX,FOX,0,kt Rolster,KT,2,bestOf_3,"[['111561337007305682', [{'parameter': '118366889'}]], ['111561337007305683', [{'parameter': '118366889'}]], ['111561337007305684', []]]"
2024-03-08T08:00:00Z,Week 7,LCK,111561337007305609,normal,OKSavingsBank BRION,BRO,0,Hanwha Life Esports,HLE,2,bestOf_3,"[['111561337007305610', [{'parameter': '118447325'}]], ['111561337007305611', [{'parameter': '118447325'}]], ['111561337007305612', []]]"
2024-03-08T10:30:00Z,Week 7,LCK,111561337007305597,normal,NongShim REDFORCE,NS,0,Dplus Kia,DK,2,bestOf_3,"[['111561337007305598', [{'parameter': '118460089'}]], ['111561337007305599', [{'parameter': '118460089'}]], ['111561337007305600', []]]"
2024-03-09T08:00:00Z,Week 7,LCK,111561337007305653,normal,T1,T1,0,Gen.G,GEN,2,bestOf_3,"[['111561337007305654', [{'parameter': '118546041'}]], ['111561337007305655', [{'parameter': '118546041'}]], ['111561337007305656', []]]"
2024-03-09T10:30:00Z,Week 7,LCK,111561337007305557,normal,Kwangdong Freecs,KDF,0,DRX,DRX,2,bestOf_3,"[['111561337007305558', [{'parameter': '118559325'}]], ['111561337007305559', [{'parameter': '118559325'}]], ['111561337007305560', []]]"
2024-03-10T08:00:00Z,Week 7,LCK,111561337007305685,normal,kt Rolster,KT,2,NongShim REDFORCE,NS,1,bestOf_3,"[['111561337007305686', [{'parameter': '118645355'}]], ['111561337007305687', [{'parameter': '118645355'}]], ['111561337007305688', [{'parameter': '118645355'}]]]"
2024-03-10T10:30:00Z,Week 7,LCK,111561337007305593,normal,FearX,FOX,1,Dplus Kia,DK,2,bestOf_3,"[['111561337007305594', [{'parameter': '118666289'}]], ['111561337007305595', [{'parameter': '118666289'}]], ['111561337007305596', [{'parameter': '118666289'}]]]"
2024-03-13T08:00:00Z,Week 8,LCK,111561337007305661,normal,Hanwha Life Esports,HLE,2,Kwangdong Freecs,KDF,1,bestOf_3,"[['111561337007305662', [{'parameter': '118923455'}]], ['111561337007305663', [{'parameter': '118923455'}]], ['111561337007305664', [{'parameter': '118923455'}]]]"
2024-03-13T10:30:00Z,Week 8,LCK,111561337007305601,normal,Dplus Kia,DK,0,T1,T1,2,bestOf_3,"[['111561337007305602', [{'parameter': '118942619'}]], ['111561337007305603', [{'parameter': '118942619'}]], ['111561337007305604', []]]"
2024-03-14T08:00:00Z,Week 8,LCK,111561337007305561,normal,FearX,FOX,2,DRX,DRX,0,bestOf_3,"[['111561337007305562', [{'parameter': '119016377'}]], ['111561337007305563', [{'parameter': '119016377'}]], ['111561337007305564', []]]"
2024-03-14T10:30:00Z,Week 8,LCK,111561337007305613,normal,OKSavingsBank BRION,BRO,0,kt Rolster,KT,2,bestOf_3,"[['111561337007305614', [{'parameter': '119031887'}]], ['111561337007305615', [{'parameter': '119031887'}]], ['111561337007305616', []]]"
2024-03-15T08:00:00Z,Week 8,LCK,111561337007305649,normal,Gen.G,GEN,2,NongShim REDFORCE,NS,0,bestOf_3,"[['111561337007305650', [{'parameter': '119112661'}]], ['111561337007305651', [{'parameter': '119112661'}]], ['111561337007305652', []]]"
2024-03-15T10:30:00Z,Week 8,LCK,111561337007305673,normal,T1,T1,1,Hanwha Life Esports,HLE,2,bestOf_3,"[['111561337007305674', [{'parameter': '119131273'}]], ['111561337007305675', [{'parameter': '119131273'}]], ['111561337007305676', [{'parameter': '119131273'}]]]"
2024-03-16T06:00:00Z,Week 8,LCK,111561337007305693,normal,FearX,FOX,2,Kwangdong Freecs,KDF,1,bestOf_3,"[['111561337007305694', [{'parameter': '119203257'}]], ['111561337007305695', [{'parameter': '119203257'}]], ['111561337007305696', [{'parameter': '119203257'}]]]"
