iter	Logloss
0	0.6771610254
1	0.6626458367
2	0.650420872
3	0.6380047251
4	0.6224865223
5	0.6143773725
6	0.6036832214
7	0.5964875455
8	0.5880873084
9	0.5813580019
10	0.5713226503
11	0.5643035045
12	0.5569474159
13	0.5464561142
14	0.5354934506
15	0.527623889
16	0.5211229917
17	0.5085594018
18	0.5039421068
19	0.4917309801
20	0.4865163699
21	0.4801967238
22	0.4737950806
23	0.4691441944
24	0.4641655365
25	0.4597097396
26	0.4510994898
27	0.4459269635
28	0.4391221447
29	0.4349033312
30	0.4269777934
31	0.4200454203
32	0.4151224944
33	0.4120325399
34	0.4060463908
35	0.4005615588
36	0.3922574825
37	0.3862199427
38	0.3835626035
39	0.3777471779
40	0.3692607108
41	0.3672692801
42	0.3610962088
43	0.3557203718
44	0.3535722185
45	0.3485908201
46	0.3455736375
47	0.3415495606
48	0.3329376285
49	0.3256416947
50	0.3180500065
51	0.3134032446
52	0.3118224784
53	0.3090779595
54	0.302980699
55	0.2952803686
56	0.2898202552
57	0.2844899752
58	0.2788686349
59	0.2768928874
60	0.2723644002
61	0.2679140843
62	0.2642349546
63	0.2601787517
64	0.256243781
65	0.2528497965
66	0.2491285558
67	0.2427827259
68	0.2392123199
69	0.2354030312
70	0.2312904722
71	0.2286640652
72	0.2252553337
73	0.2223832335
74	0.2200369519
75	0.2181030577
76	0.2154215834
77	0.2143761461
78	0.2090386758
79	0.2057786354
80	0.2017579638
81	0.197142134
82	0.1944430772
83	0.1914972555
84	0.1879426547
85	0.1843396343
86	0.1811212302
87	0.1772399701
88	0.1753051262
89	0.1735918675
90	0.1714307716
91	0.1682149316
92	0.1662259023
93	0.1630464618
94	0.1608266627
95	0.1592844666
96	0.1570735673
97	0.1561743927
98	0.1530824575
99	0.150390062
100	0.1496622485
101	0.1490627762
102	0.1467238207
103	0.1450754515
104	0.1430126193
105	0.1424490716
106	0.1408600162
107	0.1390606088
108	0.138271908
109	0.1364847242
110	0.1339415354
111	0.1317117241
112	0.1287616288
113	0.1273021897
114	0.1247768818
115	0.122826477
116	0.1217079829
117	0.1200544448
118	0.1177633663
119	0.1160110896
120	0.1139783755
121	0.1114169056
122	0.110036323
123	0.1083936925
